Airbags_Deployed,LossCause_Fire,LossCause_InsuredHitTP,LossCause_MechanicalFailure,LossCause_Other,LossCause_TPHitInsured,LossCause_Theft,LossCause_Weather,VehicleType_C,VehicleType_M,VehicleType_V,ReportingDelay,Age,Damage_Front,Damage_Rear,Damage_Left,Damage_Right,TOTAL_LOSS
0,0,0,0,0,0,0,1,1,0,0,0,17.0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,8,20.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,55,17.0,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,0,305,17.0,1,0,1,0,1
1,0,1,0,0,0,0,0,1,0,0,180,40.0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,731,4.0,1,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,4.0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,46,11.0,0,1,0,0,1
1,0,0,0,0,1,0,0,1,0,0,122,-1.0,0,1,1,0,1
0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,5.0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,1,0,172,8.0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,254,19.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,80,15.0,1,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,5.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,8.0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,67,2.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,2,14.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,95,3.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,5.0,1,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,0,0,1,0
0,0,0,0,0,0,0,1,1,0,0,2,2.0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,34,22.0,0,1,1,0,0
0,1,0,0,0,0,0,0,1,0,0,25,5.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,2.0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,370,2.0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,233,11.0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,0,0,0,9.0,1,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,28.0,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,17.0,1,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,203,14.0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,0,2,38.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,15.0,1,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,142,-1.0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,533,5.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,14.0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,1,14.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,6,3.0,0,1,1,1,1
0,0,1,0,0,0,0,0,1,0,0,1,13.0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,3,15.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,7.0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,6.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,12,12.0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,28,27.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,327,1.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,2,31.0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,30,17.0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,26.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,185,9.0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,4.0,0,1,1,0,1
0,0,1,0,0,0,0,0,1,0,0,397,-1.0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,288,26.0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,4,5.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,83,7.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,30,27.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,138,10.0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,2,30.0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,359,14.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,12.0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0,0,4.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,25,23.0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,235,7.0,0,1,1,1,1
0,0,1,0,0,0,0,0,1,0,0,51,-1.0,0,0,1,0,0
1,0,0,0,1,0,0,0,1,0,0,10,7.0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,0,-1.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,5.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,202,12.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1,15.0,1,0,1,1,1
0,0,1,0,0,0,0,0,1,0,0,5,17.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,287,9.0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,21.0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,11.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,142,6.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,-1.0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,0,0,23,7.0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,4,2.0,1,0,1,1,1
0,0,1,0,0,0,0,0,1,0,0,14,10.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,12,11.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,6,6.0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,33,8.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,1,3.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,4,6.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,25,21.0,1,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,4,19.0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,14.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,312,15.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,677,-1.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,2,6.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,13,4.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,-1.0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,129,8.0,1,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,46,13.0,0,1,1,0,1
0,0,1,0,0,0,0,0,1,0,0,8,7.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,2.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,6,10.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,2,-1.0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,7,1.0,0,1,0,0,0
1,0,0,0,0,1,0,0,1,0,0,0,2.0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,13.0,1,1,1,0,1
